heure;variable;valeur
15/06/2023 17:51:00;MW_PRMEN705001;0
15/06/2023 17:51:00;MW_PRMEP407001;0
15/06/2023 17:51:00;MW_PRMET407002;0
15/06/2023 17:51:00;MW_PRMET407003;0
15/06/2023 17:51:00;MW_PRMET407004;0
15/06/2023 17:51:00;MW_PRMET407005;0
15/06/2023 17:51:00;MW_PRMET407006;0
15/06/2023 17:51:00;MW_PRMET407007;0
15/06/2023 17:51:00;MW_PRMET407008;0
15/06/2023 17:51:00;MW_PRMET407009;0
15/06/2023 17:51:00;MW_PRMET701001;0
15/06/2023 17:51:00;MW_PRMET703001;0
15/06/2023 17:51:00;MW_PRMEV470601;0
15/06/2023 17:51:00;MW_PRTPA406801_ETA;0
15/06/2023 17:51:00;MW_PRTPA407001_ETA;0
15/06/2023 17:51:00;MW_PRTPA407101_ETA;0
15/06/2023 17:51:00;P4_MET_DEP_MES;0
15/06/2023 17:51:00;P4_MET_RET_MES;0
15/06/2023 17:51:00;P4LIC4000_MES;0
15/06/2023 17:51:00;P4MEDFFI4000;0
15/06/2023 17:51:00;P4MEDFI4000;0
15/06/2023 17:51:00;P4MENLI4000;0
15/06/2023 17:51:00;P4MON670101_INT;0
15/06/2023 17:51:00;P4MON670101_VIT;0
15/06/2023 17:51:00;P4MON670201_INT;0
15/06/2023 17:51:00;P4MON670201_VIT;0
15/06/2023 17:51:00;P4MON670301_INT;0
15/06/2023 17:51:00;P4MON670301_VIT;0
15/06/2023 17:51:00;P4MON670401_INT;0
15/06/2023 17:51:00;P4MON670401_VIT;0
15/06/2023 17:51:00;P4MOX671001_INT;0
15/06/2023 17:51:00;P4MOX671001_VIT;0
15/06/2023 17:51:00;P4MOX671101_INT;0
15/06/2023 17:51:00;P4MOX671101_VIT;0
15/06/2023 17:51:00;P4MOX671201_INT;0
15/06/2023 17:51:00;P4MOX671201_VIT;0
15/06/2023 17:51:00;P4MOX671301_INT;0
15/06/2023 17:51:00;P4MOX671301_VIT;0
15/06/2023 17:51:00;P4MOX671401_INT;0
